,race,recidivate-within-two-years,sex:Male,sex:Female,age:18-20,age:21-22,age:23-25,age:26-45,age:>45,juvenile-felonies:=0,juvenile-felonies:>0,juvenile-misdemeanors:=0,juvenile-misdemeanors:>0,juvenile-crimes:=0,juvenile-crimes:>0,priors:=0,priors:=1,priors:2-3,priors:>3,current-charge-degree:Felony,current-charge-degree:Misdemeanor
31,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
32,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
33,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
34,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
35,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
36,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0
37,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1
38,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
39,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
40,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
41,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
42,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
43,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
44,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
45,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0
46,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
47,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
48,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
49,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
50,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
51,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
52,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
53,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0
54,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
55,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0
56,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
57,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0
58,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
59,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
60,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
61,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1
62,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0
63,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
64,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
65,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1
66,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0
67,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0
68,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
69,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
70,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
71,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1
72,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0
73,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
74,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
75,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1
76,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1
77,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1
78,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
79,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
80,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
81,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0
82,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
83,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
84,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
85,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
86,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
87,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1
88,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1
89,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
90,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1
91,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
92,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
93,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
94,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
95,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
96,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
97,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
98,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
99,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0
100,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0
101,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1
102,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
103,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
104,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
105,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
106,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0
107,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
108,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
109,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
110,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
111,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
112,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0
113,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1
114,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0
115,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
116,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
117,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0
118,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
119,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0
120,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
121,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
122,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
123,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
124,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
125,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0
126,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
127,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0
128,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
129,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0
130,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1
131,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1
132,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
133,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
134,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
135,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
136,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
137,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1
138,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
139,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
140,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
141,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0
142,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
143,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0
144,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0
145,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1
146,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
147,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0
148,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
149,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
150,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
151,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
152,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
153,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
154,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
155,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
156,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0
157,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0
158,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0
159,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
160,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
161,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
162,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
163,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0
164,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1
165,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1
166,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
167,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0
168,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0
169,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1
170,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
171,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
172,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
173,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
174,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
175,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
176,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
177,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0
178,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
179,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
180,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0
181,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1
182,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
183,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
184,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
185,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
186,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
187,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1
188,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
189,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0
190,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
191,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
192,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
193,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
194,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0
195,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
196,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0
197,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
198,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
199,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
200,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0
201,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
202,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1
203,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1
204,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1
205,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
206,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
207,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
208,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
209,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0
210,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
211,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0
212,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
213,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
214,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
215,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
216,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
217,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
218,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
219,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
220,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
221,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
222,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
223,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
224,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1
225,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
226,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
227,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
228,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
229,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
230,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1
231,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
232,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
233,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
234,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0
235,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
236,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
237,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
238,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
239,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0
240,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
241,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0
242,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
243,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
244,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
245,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
246,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0
247,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1
248,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1
249,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
250,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
251,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
252,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
253,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
254,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0
255,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1
256,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
257,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0
258,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
259,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
260,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
261,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1
262,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1
263,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
264,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
265,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0
266,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
267,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0
268,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
269,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
270,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
271,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1
272,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0
273,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
274,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
275,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
276,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
277,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
278,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
279,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
280,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
281,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0
282,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
283,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
284,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
285,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0
286,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0
287,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1
288,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
289,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
290,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
291,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
292,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
293,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
294,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0
295,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
296,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
297,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0
298,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
299,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
300,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
301,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1
302,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
303,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0
304,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
305,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1
306,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
307,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
308,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0
